ABSENT,6 months;6 Monate;;,
About,ABSENT;ABWESEND;;,
Absent,About;�ber;;,
Account,Absent;abwesend;;,
Address Line 1,Active;aktiv;;,
Address Line 2,Address Line 1;Adresszeile 1;;,
Address Name,Address Line 2;Adresszeile 2;;,
Advance RECD in 2019,Adendum to Previous Lease;Nachtrag zum vorherigen Mietvertrag;;,
All Property,Agreement Status;Vertragsstatus;;,
Apartment No.,Apartment No;Wohnungsnummer;;,
Apps,Apartment Status;Wohnungsstatus;;,
Areas for Checklist Checkup.,Area Name;Bereichsname;;,
Batch No,BHK;BHK;;,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,By Lessee;vom Mieter;;,
Cashier Closing,Carpet area;Teppichfl�che;;,
Checklist Checkup Area,Charge basis;Geb�hrenbasis;;,
City,Checkup Date;Datum �berpr�fung;;,
Client,City;Stadt;;,
Closed before starting long process!,Closed;geschlossen;;,
Company,Common bathroom;Gemeinschaftsbad;;,
Contact Number,Consultant;Berater;;,
Create a new Customer,Cover Document;Deckblatt;;,
Currency,Create a new Customer;Einen neuen Kunden erstellen;;,
Customer POS Id,Customer Feedback;Kundenfeedback;;,
DAY OFF,Customer POS Id;Kunden-POS-ID;;,
Daily Checklist,DESCRIPTION;Beschreibung;;,
Date,Damage Charge Item;Schadensgeb�hr;;,
Day off,Day;Tag;;,
Default warehouse is required for selected item,Default Tax Template;Standard-Steuervorlage;;,
Delete permanently?,Defect Found;Mangel gefunden;;,
Discount amount cannot be greater than 100%,Disabled;Deaktiviert;;,
Documentation,Document Type;Dokumenttyp;;,
Email,Elevator;Aufzug;;,
Email Id,Email;E-Mail;;,
End Date,Email Id;E-Mail-ID;;,
Enter value must be positive,End Date;Enddatum;;,
Existing stock quantity of item ${item.item} is ${sle_qty} not enough,Error;Fehler;;,
Exit,Existing stock quantity of item ${item.item} is ${sle_qty} not enough;Vorhandene Lagerbestandsmenge ${sle_qty} des Artikels ${item.item} ist nicht ausreichend;;,
Extand,Expiry;Ablauf;;,
Frappe School,Flooring Type;Bodenbelagstyp;;,
Frappe Support,Frappe School;Frappe Schule;;,
From,Frequency;Frequenz;;,
From Date,From;von;;,
From Month,From Date;von Datum;;,
Full Name,From Month;on Monat;;,
GUARD NAME,Furnished;m�bliert;;,
Generate Pending Invoice,GUARD NAME;W�chtername;;,
Guard Name,Guard EmpID;W�chter-Mitarbeiter-ID;;,
